coursereferencenumber,coursetitle,trainingprovideralias,skill_cluster,full_course_fee,course_fee_after_subsidies,usd_list,usd_after_ssg,courseratings_stars,courseratings_noofrespondents,attendancecount,number_of_hours,lookup_url,already_in_scored_catalogue
TGS-2024041781,Environmental Sustainability Management,ADEPT ACADEMY PTE. LTD.,esg_reporting,600.0,300.0,468.0,234.0,4.5,93.0,112.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024041781,False
TGS-2023035868,Sustainable Cultivation of Mushrooms,ASCENDO ACADEMY PTE. LTD.,esg_reporting,620.0,310.0,483.6,241.8,4.5,82.0,112.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023035868,False
TGS-2024047781,SME Sustainability 101 (Classroom & Asynchronous e-learning),Temasek Polytechnic,esg_reporting,625.0,187.5,487.5,146.25,,,14.0,10.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024047781,False
TGS-2020505941,Sustainable Mushroom Cultivation 101,Republic Polytechnic,esg_reporting,630.0,189.0,491.40000000000003,147.42000000000002,4.0,41.0,178.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2020505941,False
TGS-2023036271,Sustainable Cloud Solutions and Best Practices,Temasek Polytechnic,esg_reporting,650.0,195.0,507.0,152.1,,,,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023036271,False
TGS-2023021531,Understanding Sustainability: What and Why?,SINGAPORE POLYTECHNIC,esg_reporting,660.0,198.0,514.8000000000001,154.44,4.0,14.0,13.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023021531,False
TGS-2023038526,(eCornell) Sustainability in Building Design and Operation,GENASHTIM,esg_reporting,700.0,700.0,546.0,546.0,,,,12.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023038526,False
TGS-2023040743,Change Management for Sustainability,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,esg_reporting,700.0,210.0,546.0,163.8,,,,7.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023040743,False
TGS-2024045908,Embracing ESG: Aligning with the revised code of governance for charities in Singapore,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,esg_reporting,700.0,210.0,546.0,163.8,3.5,63.0,64.0,7.5,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024045908,False
TGS-2024042287,Essentials of ESG Risk Management,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,esg_reporting,700.0,210.0,546.0,163.8,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024042287,False
